Month	DBF1	DBF2	DBF3	ENF1	ENF2	ENF3	GRA1	GRA2	GRA3	CRO1	CRO2	CRO3
Jan	0.5671	0.3824	0.3623	0.4493	0.4799	0.6282	0.6012	0.6864	0.2836	0.3725	0.3838	0.4155
Feb	0.5102	0.2652	0.3763	0.4326	0.4645	0.5361	0.5987	0.6738	0.2526	0.3081	0.2816	0.4215
Mar	0.5116	0.3043	0.3705	0.4565	0.4491	0.4696	0.5963	0.5293	0.2512	0.3201	0.349	0.397
Apr	0.5865	0.3944	0.4505	0.5212	0.486	0.431	0.5937	0.5103	0.3125	0.4416	0.5015	0.4616
May	0.7041	0.7406	0.7099	0.6872	0.5745	0.5454	0.604	0.6479	0.5931	0.5659	0.6964	0.654
Jun	0.6715	0.8207	0.7925	0.6944	0.6633	0.6629	0.6303	0.6795	0.636	0.6326	0.7448	0.7069
Jul	0.6823	0.7976	0.7068	0.6282	0.704	0.696	0.6488	0.6909	0.6047	0.6272	0.511	0.5945
Aug	0.6759	0.7601	0.6015	0.5905	0.7518	0.7141	0.6405	0.6737	0.5737	0.5702	0.2872	0.4843
Sep	0.6963	0.767	0.6039	0.6085	0.7163	0.7145	0.6769	0.713	0.5603	0.593	0.2568	0.4417
Oct	0.6624	0.6291	0.6549	0.5962	0.5466	0.7073	0.6205	0.714	0.5089	0.577	0.329	0.4669
Nov	0.6121	0.3429	0.5212	0.5022	0.512	0.6048	0.6057	0.5796	0.3913	0.4957	0.434	0.4666
Dec	0.6213	0.3351	0.4349	0.4343	0.496	0.5256	0.6038	0.7051	0.3199	0.4377	0.4823	0.469
