Month	DBF1	DBF2	DBF3	ENF1	ENF2	ENF3	GRA1	GRA2	GRA3	CRO1	CRO2	CRO3
Jan	0.1932	0.0336	0.1737	0.3636	0.0677	1.0399	0.2104	0.1841	1.1311	0.606	0.3643	0.4876
Feb	0.2251	0.0827	0.3392	0.8027	0.0806	1.7668	0.2748	0.0421	0.9552	0.3823	0.4329	0.0381
Mar	0.3532	0.1952	0.7251	2.2846	0.2701	3.106	1.1166	0.4986	1.936	1.0463	1.1286	0.6641
Apr	1.5383	1.4733	2.5135	5.9608	1.8168	5.2628	5.7772	3.4846	5.0645	3.833	5.91	5.3721
May	9.9108	6.8694	10.4356	9.1492	4.6679	7.0588	13.4617	7.3302	7.303	6.6939	8.776	10.542
Jun	11.7375	11.0474	14.8676	10.5197	7.1164	8.826	9.7183	5.4462	6.1224	12.7727	9.5233	13.1104
Jul	10.1252	10.7888	12.8262	9.5551	7.9136	8.7723	12.2404	4.3068	3.8072	10.6446	6.7421	6.4811
Aug	8.2087	9.2538	8.9544	8.2572	6.3429	7.99	8.7124	5.7523	3.6298	4.9219	3.9284	1.2901
Sep	6.8324	6.5614	6.2984	6.4797	3.8207	6.3429	7.1186	5.9814	3.9046	3.514	7.7095	1.5597
Oct	3.4448	2.5847	2.684	4.0171	1.2321	4.1662	3.1793	4.495	5.451	0.7479	1.4087	2.214
Nov	0.313	0.1553	0.5524	1.821	0.2204	2.1382	1.1019	1.7074	3.4677	0.7566	0.3518	0.6182
Dec	0.1195	0.0933	0.243	0.6181	0.0568	1.2144	0.4282	0.5494	1.7667	0.6833	0.2878	0.369
