Month	DBF1	DBF2	DBF3	ENF1	ENF2	ENF3	GRA1	GRA2	GRA3	CRO1	CRO2	CRO3
Jan	6.1927	4.2519	3.2216	5.0852	1.2296	5.0079	6.8241	6.0006	12.4221	6.8906	5.6254	6.8002
Feb	12.4933	8.5263	7.5751	8.929	4.8626	9.4288	15.1273	9.5869	18.7191	8.6598	9.4779	12.2622
Mar	19.2534	15.849	16.8795	15.5613	15.5254	16.408	25.0567	18.9927	29.5868	19.253	18.8026	22.2754
Apr	28.3589	25.7353	24.8047	25.1628	25.0426	26.5943	30.6533	24.529	34.6534	27.6508	26.8624	27.0226
May	35.7062	33.9014	36.0095	33.5302	32.7643	34.5216	36.2642	32.2735	45.6686	35.3745	33.3	32.3307
Jun	43.8896	38.9295	38.0132	37.8389	35.3894	40.1195	38.9307	38.0126	48.4872	42.892	38.587	39.6966
Jul	39.8565	35.6208	36.5944	35.7924	35.7875	36.2935	37.6252	41.6472	49.961	40.9979	38.2082	38.0414
Aug	32.9615	30.7006	30.707	30.6934	27.4183	30.9502	31.0611	24.4172	43.3065	29.5061	27.6836	28.184
Sep	24.8399	22.2861	21.3068	22.3784	16.3692	23.1423	25.657	23.8274	31.1708	25.7651	24.9366	25.6629
Oct	14.5999	12.0574	10.4558	12.4605	5.8215	13.3191	17.4449	13.8788	22.9828	14.7459	12.8201	14.7997
Nov	7.2725	5.457	3.9504	6.2462	1.6128	5.9123	7.9243	6.7113	13.8636	7.2414	6.1519	6.817
Dec	4.7139	3.4859	1.9958	3.9885	0.6414	3.6575	4.1041	3.9081	10.401	4.1904	4.1334	4.848
