Chemical name	CAS	logP
2-Amino-4-chloro-6-methylpyrimidine;4-Chloro-6-methylpyrimidin-2-amine	5600215	1.0700000000223526
N-Methylaniline;N-Methylaniline	100618	1.6599999999858668
2-Fluorobenzaldehyde;2-Fluorobenzaldehyde	446526	1.9100000000191817
4'-Chloro-3'-nitroacetophenone;1-(4-Chloro-3-nitrophenyl)ethan-1-one	5465656	2.14000000012494
Benzyl methacrylate;Benzyl 2-methylprop-2-enoate	2495376	2.529999999949754
Cyprazine;6-Chloro-N~2~-cyclopropyl-N~4~-(propan-2-yl)-1,3,5-triazine-2,4-diamine	22936863	3.059999999812052
4-Chlorotoluene;1-Chloro-4-methylbenzene	106434	3.330000000101114
Poly-(oxy-1,2-ethanediyl)-alpha-undecyl-omega-hydroxy	34398011	4.0
Dihexylamine;N-Hexylhexan-1-amine	143168	4.740000000033489
2,2',5-Trichlorobiphenyl;2,2',5-Trichloro-1,1'-biphenyl	37680652	5.549999999958903
