Chemical name	CAS	LC50 (mmol/L)
2-Amino-4-chloro-6-methylpyrimidine;4-Chloro-6-methylpyrimidin-2-amine	5600215	1.023819473
N-Methylaniline;N-Methylaniline	100618	0.933184024
2-Fluorobenzaldehyde;2-Fluorobenzaldehyde	446526	0.011037705
4'-Chloro-3'-nitroacetophenone;1-(4-Chloro-3-nitrophenyl)ethan-1-one	5465656	0.027581542
Benzyl methacrylate;Benzyl 2-methylprop-2-enoate	2495376	0.026500965
Cyprazine;6-Chloro-N~2~-cyclopropyl-N~4~-(propan-2-yl)-1,3,5-triazine-2,4-diamine	22936863	0.032371542
4-Chlorotoluene;1-Chloro-4-methylbenzene	106434	0.046765147
Poly-(oxy-1,2-ethanediyl)-alpha-undecyl-omega-hydroxy	34398011	0.02541942
Dihexylamine;N-Hexylhexan-1-amine	143168	0.004208028
2,2',5-Trichlorobiphenyl;2,2',5-Trichloro-1,1'-biphenyl	37680652	0.000131237
